id,sleep_start,number_naps,total_minutes_napping
5577150313,2016-03-25,1,125
5577150313,2016-03-26,1,327
5577150313,2016-03-28,1,59
5577150313,2016-03-30,1,89
5577150313,2016-04-02,1,304
5577150313,2016-04-05,1,125
5577150313,2016-04-09,2,377
6117666160,2016-03-12,2,383
6117666160,2016-03-16,4,366
6117666160,2016-03-18,1,73
6117666160,2016-03-19,3,497
6117666160,2016-03-20,1,490
6117666160,2016-03-23,2,369
6117666160,2016-03-24,1,59
6117666160,2016-03-26,2,426
6117666160,2016-03-27,1,204
6117666160,2016-03-29,1,214
6117666160,2016-03-30,1,88
6117666160,2016-03-31,2,253
6117666160,2016-04-01,2,485
6117666160,2016-04-05,1,61
6117666160,2016-04-06,1,453
6117666160,2016-04-09,3,459
6775888955,2016-03-15,1,121
6775888955,2016-03-18,1,294
6775888955,2016-03-19,1,401
6775888955,2016-03-21,1,400
6775888955,2016-03-27,1,401
6775888955,2016-03-28,3,501
6775888955,2016-03-31,1,299
6775888955,2016-04-06,1,455
6775888955,2016-04-07,2,237
6962181067,2016-03-17,1,379
6962181067,2016-03-19,1,448
6962181067,2016-03-22,2,456
6962181067,2016-03-26,1,486
6962181067,2016-03-27,1,489
6962181067,2016-03-28,1,87
6962181067,2016-03-30,1,401
6962181067,2016-03-31,1,107
6962181067,2016-04-02,1,414
6962181067,2016-04-03,1,495
6962181067,2016-04-05,1,350
6962181067,2016-04-09,2,447
6962181067,2016-04-10,1,421
6962181067,2016-04-12,1,386
7007744171,2016-03-14,1,87
7007744171,2016-03-24,1,63
7007744171,2016-03-26,1,63
7007744171,2016-03-30,1,63
7007744171,2016-04-02,1,63
7007744171,2016-04-03,1,70
7007744171,2016-04-05,1,69
7007744171,2016-04-07,1,63
7086361926,2016-03-12,2,563
7086361926,2016-03-16,1,368
7086361926,2016-03-20,1,461
7086361926,2016-03-21,1,534
7086361926,2016-03-23,1,456
7086361926,2016-03-25,1,286
7086361926,2016-03-26,1,324
7086361926,2016-03-27,1,67
7086361926,2016-03-30,1,174
7086361926,2016-03-31,1,387
7086361926,2016-04-09,1,480
8053475328,2016-03-29,1,497
8378563200,2016-03-12,1,103
8378563200,2016-03-13,1,106
8378563200,2016-03-17,1,400
8378563200,2016-03-18,1,85
8378563200,2016-03-21,1,310
8378563200,2016-03-22,1,70
8378563200,2016-03-26,2,557
8378563200,2016-03-30,1,179
8378563200,2016-03-31,1,97
8378563200,2016-04-01,1,149
8378563200,2016-04-02,2,264
8378563200,2016-04-05,1,121
8378563200,2016-04-06,1,73
8378563200,2016-04-07,2,177
8378563200,2016-04-09,1,173
8378563200,2016-04-10,1,484
8792009665,2016-03-27,1,413
8792009665,2016-03-28,1,401
8792009665,2016-03-29,1,204
8792009665,2016-03-30,2,450
8792009665,2016-04-01,2,492
8792009665,2016-04-03,1,514
8792009665,2016-04-04,2,584
8792009665,2016-04-05,1,406
8792009665,2016-04-06,1,457
8792009665,2016-04-07,1,468
8792009665,2016-04-08,2,433
8792009665,2016-04-09,3,627
